,,,,,,,
ANGGARAN PERBELANJAAN KESELURUHAN BAGI SAMBUTAN HARI POLIS KE-105 TAHUN 2026,,,,,,,
,,,,,, Perbelanjaan ,
Bil,Perkara,Tindakan,Keterangan,Cenderahati hp105 ,Goodies bag hp105 , Permakanan , Lain-Lain 
1,Perbarisan,P. Perbarisan,Anggaran Perbelanjaan merangkumi 7 hari latihan dan Majlis kemucak perbarisan,376,-," $35,065.50 ", - 
2,Mkn Beradat ,P. Permakanan,Raptai makan beradat bersama Pengerusi pada 10/01/2026 dan bersama PJP 13/01/2026. Support Staff untuk 15/01/2026,-,-," $1,011.50 ", - 
,,Setiausaha Mes,Makan beradat pada 15/01/2026 (belum termasuk support staffs),-,-," $20,438.00 ", - 
3,Keagamaan,BUI,Mencetak Surah Yassin sebanyak 300 Softcover dan 50 Hardtcover (Ezy Printing),-,-, - ," $1,275.00 "
,,,Majlis Doa Kesyukuran HP105 : perbelanjaan kelengkapan & permakanan,-,-," $1,325.00 ", - 
4,Pameran,P. Pameran,Pameran diadakan selama dua(2) hari,50,600," $3,000.00 "," $12,800.00 "
5,Daerah TT ,OCPD TT,Kejohanan Bolasepak,41,210, $883.50 ," $1,445.00 "
6,Daerah BM,P. Derma Darah,Kempen Derma Darah,-,100, $105.00 , - 
,,OCPD BM,Gotong Royong,-,300," $1,050.00 ",
,,,Walkaton,5,145, $525.00 ,
7,Daerah Belait ,OCPD Belait,Open day,1,500," $1,511.00 ",
,,,Gotong Royong,-,-, $175.00 ,
,,,Kempen Derma Darah,-,100, $105.00 ,
8,Daerah Temb,OCPD Temb,Kempen Derma Darah ,-,100, $350.00 , $60.00 
,,,Gotong Royong ,-,-, $263.70 ,
,,,Community Engagement @ POLSARA ,-,80, $410.00 ,
9,Kelengkapan,P. Kelengkapan,"Perbelanjaan penyewaan kem, backdrop, fabric ceiling",-,-, - ," $18,367.30 "
11,PRO,,Digital poster HP ke -105 (tiada pencetakan),-,-, - , - 
10,Cenderahati,,"Cenderahati kepada Tetamu Kehormat, Peserta dan Pengunjung",473,2135, - , - 
,,,,Jumlah Keseluruhan,," $66,218.20 "," $33,947.30 "
,,,,,," $100,165.50 ",
